,TaxID,Resources,NicheWidth,GenomeSize,GeneCounts,ProteinCodingGenes
15,208964.0,"['Peptone', 'Agar', 'Distilled water', 'NaCl', 'Beef extract', 'K2HPO4', 'Yeast extract', '(NH4)2SO4', '2909', 'CaCl2 x 2 H2O', 'KH2PO4', 'Na2S x 9 H2O', 'Na2S2O3 x 5 H2O', 'MgCl2 x 6 H2O', 'FeSO4', 'Na3-citrate x 5 H2O', 'Sodium resazurin', 'Casein peptone', 'Soy peptone', 'D(+)-Glucose', 'Glucose', 'Na-acetate', 'NH4Cl', 'NaHCO3', 'KCl', 'Trypticase', 'Cysteine', 'Sodium thiosulphate', '5902', 'Trypticase soy broth', 'Oat flakes', 'Bacto peptone', 'Meat extract', 'MgSO4 x 7 H2O', 'MnSO4 x H2O', 'Tween 80', '(NH4)3 citrate', 'Fe(III) citrate', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2', 'Dextrose', 'Malt extract', 'Tryptone', 'Resazurin', 'Rolled oats', '147', 'FeCl3 x 6 H2O', '155', 'Sea Salt', 'Starch', 'NaH2PO4', 'L-Cysteine HCl x H2O', 'Sodium pyruvate', 'Dithiothreitol', 'Hemin', 'L-Arginine', 'Sodium pyrophosphate', 'Na2CO3', 'FeSO4 x 7 H2O', 'Sucrose', 'NaNO3', 'D-Fructose', 'Casitone', 'Trehalose', '5980', 'Sodium ascorbate', 'CaCO3', 'Na-pyruvate', 'Trisodium citrate x H2O', '3846', '3847', 'Ground beef', 'NaOH', 'L-Cysteine HCl', 'Na-(DL)-lactate', '1474', '3383', 'Na2HPO4', '4059', 'D-Glucose', 'N-Z amine', 'Glycerol', 'Casamino acids', 'Czapek Dox agar', 'Tryptophan']",87,6264404,5697,5572
16,565655.0,"['Agar', 'Distilled water', 'Yeast extract', 'Trypticase soy broth', 'MgSO4 x 7 H2O', 'Polypeptone', 'Sodium acetate', 'Xylose']",8,3427276,3190,3092
17,1829.0,"['Peptone', 'Agar', 'Distilled water', 'NaCl', 'Beef extract', 'Oat flakes', 'Yeast extract', 'Trypticase soy broth', 'Sucrose', 'Malt extract', 'CaCl2 x 2 H2O', 'MgSO4 x 7 H2O', 'KH2PO4', 'Na-acetate', 'NH4Cl', 'Na2S x 9 H2O', 'NaHCO3', 'Na-formate', 'Brain heart infusion', 'Proteose peptone', 'FeSO4', 'L-Cysteine HCl x H2O', 'Sodium resazurin', '1038', 'Casein peptone', 'Dextrose', 'Glucose', '(NH4)2SO4', 'Na2HPO4', '4059', 'CaCO3', 'K2HPO4', 'L-Asparagine', 'Bacto peptone', 'Glycerol', 'Casamino acids', 'V-8 Juice']",37,5612657,5171,5030
18,546367.0,"['Peptone', 'Meat extract', 'Agar', 'Distilled water', 'Yeast extract', 'Trypticase soy broth']",6,4945534,4546,4371
19,33918.0,"['Agar', 'Distilled water', 'Glucose', 'Yeast extract', 'Casein peptone', 'NaCl', 'Peptone', 'Beef extract', 'MgSO4 x 7 H2O', 'Bacto peptone', 'Glycerol', 'Casamino acids', 'Malt extract']",13,3712220,3652,3581
20,412034.0,"['Distilled water', 'Yeast extract', 'Bacto peptone', 'NaCl', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2']",11,4005136,3680,3502
21,60519.0,"['Meat extract', 'Distilled water', 'Glucose', 'MgSO4 x 7 H2O', 'K2HPO4', 'MnSO4 x H2O', 'Yeast extract', 'Casein peptone', 'Tween 80', 'Na-acetate', '(NH4)3 citrate']",11,1807083,1777,1672
22,2566013.0,"['Agar', 'Distilled water', 'Yeast extract', 'Trypticase soy broth']",4,3909366,3496,3415
23,243090.0,"['Agar', 'Distilled water', 'Yeast extract', 'NaCl', 'Tryptone', 'Trypticase soy broth', 'K2HPO4', 'Casitone', 'Ground beef', 'NaOH', 'L-Cysteine HCl']",11,7145576,5241,5124
24,191960.0,"['Distilled water', 'Yeast extract', 'Bacto peptone', 'NaCl', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2']",11,4267199,3932,3848
25,384616.0,"['Distilled water', 'CaCl2 x 2 H2O', 'MgSO4 x 7 H2O', 'KH2PO4', 'Yeast extract', '(NH4)2SO4', 'Na2S x 9 H2O', 'Na2S2O3 x 5 H2O', 'FeCl3 x 6 H2O', 'Trypticase peptone', 'Sodium resazurin', '155', 'Agar', 'K2HPO4', 'CaCO3', 'NaCl', 'Starch', '147', 'Glucose', 'Casein peptone', 'Beef extract', 'Rolled oats', 'Malt extract']",23,1826402,2194,2066
26,572544.0,"['Distilled water', 'CaCl2 x 2 H2O', 'MgSO4 x 7 H2O', 'K2HPO4', 'KH2PO4', 'FeSO4 x 7 H2O', 'Yeast extract', 'NH4Cl', 'NaCl', 'Na2S x 9 H2O', 'NaHCO3', 'D-Glucose', 'FeSO4', 'L-Cysteine HCl x H2O', 'Trehalose', 'Sodium resazurin', '5980', 'Na2CO3', 'KCl', 'MgCl2 x 6 H2O', 'Disodium succinate', 'Na2SO4', 'Na-3-hydroxybutyrate', 'Peptone', 'Meat extract', 'Agar', 'Soy peptone', 'Malt extract', '(NH4)2SO4', 'Na2HPO4', 'Na-malate', 'Bis-Tris', '4059', '934', 'Glucose', 'MnSO4 x H2O', 'Casein peptone', 'Tween 80', 'Na-acetate', '(NH4)3 citrate', 'Bacto peptone', 'Fe(III) citrate', 'CaCl2', 'KBr', 'MgCl2']",45,3132314,3063,2932
27,688269.0,"['Distilled water', 'CaCl2 x 2 H2O', 'MgSO4 x 7 H2O', 'KH2PO4', 'Yeast extract', 'Na2-EDTA', 'H3BO3', 'NaCl', 'Na2S x 9 H2O', 'KCl', 'MgCl2 x 6 H2O', 'SrCl2 x 6 H2O', 'Starch', 'KI', '(NH4)2Ni(SO4)2', 'Sodium resazurin', '241']",17,2039943,2070,1997
28,1391653.0,"['Agar', 'Distilled water', 'NaCl', 'Na-pyruvate', 'Nutrient broth', 'CaCl2 x 2 H2O', ""Baker's yeast""]",7,4350553,3694,3612
