index,name,id,correlation,significance,mass,cor_type
79,FeSO4,595,-0.0630954012416362,6.303909398604092e-06,151.91,Neg
80,Proteose peptone no. 3,316,-0.0641249326247814,4.437371528221622e-06,unknown,Neg
81,D-Glucose,211,-0.0644055106071381,4.028762127467248e-06,180.16,Neg
82,KBr,174,-0.0678972419907913,1.1716017816634669e-06,unknown,Neg
83,Fe(NH4)2(SO4)2 x 6 H2O,247,-0.0685720850301866,9.163422193588436e-07,unknown,Neg
84,KCl,61,-0.0692013116409257,7.272037603568348e-07,74.55,Neg
85,Bacto peptone,19,-0.0697864392097337,5.854867259616027e-07,unknown,Neg
86,Na2HPO4,233,-0.0716081321325849,2.9488253335957256e-07,141.959,Neg
87,Tryptone,71,-0.0872254474710882,4.139251108028589e-10,unknown,Neg
88,Na2CO3,32,-0.0893603425943829,1.5312202872057563e-10,105.988,Neg
89,NaHCO3,55,-0.098952973712002,1.3149831119026497e-12,84.007,Neg
90,Trypticase soy broth,99,-0.1002842955999746,6.544466834656758e-13,unknown,Neg
91,(NH4)3 citrate,24,-0.1044502638053147,6.947026186569405e-14,243.215,Neg
92,L-Cystine,267,-0.1079825251049459,9.664834659717408e-15,240.3,Neg
93,GAM broth,1620,-0.1092826857037726,4.600244223777826e-15,unknown,Neg
94,Sulfur,80,-0.1097355441043711,3.5447119123049482e-15,32.07,Neg
95,Liver extract,1600,-0.1202785840810595,6.056310417953684e-18,unknown,Neg
96,KH2PO4,11,-0.1254194826629319,2.1906831887950805e-19,136.085,Neg
97,MnSO4 x H2O,14,-0.132837843766599,1.4222089893127996e-21,169.016,Neg
98,Urea,339,-0.1412096124291211,3.395474515841074e-24,60.056,Neg
99,Swine serum,960,-0.1526221881382149,4.923816310912942e-28,unknown,Neg
100,DNA,958,-0.1526221881382149,4.923816310912942e-28,unknown,Neg
101,NH4Cl,42,-0.1531329708780927,3.260830303026374e-28,53.49,Neg
102,PPLO broth,953,-0.1541335699426363,1.4485665529022447e-28,unknown,Neg
103,Lab-Lemco beef extract,599,-0.1562872627284471,2.4797478060225854e-29,unknown,Neg
104,Na-acetate,23,-0.1572556800818624,1.1121091112852316e-29,82.0338,Neg
105,CMRL 1066,1680,-0.157846880221859,6.799019262991805e-30,unknown,Neg
106,Horse blood,724,-0.1614756089699129,3.1809048632349304e-31,unknown,Neg
107,Fetal bovine serum,954,-0.1693270711911519,3.2912460194200703e-34,unknown,Neg
108,Phytone peptone,125,-0.1709051192940231,7.934319652425271e-35,unknown,Neg
109,Na2S x 9 H2O,54,-0.1744316308523139,3.140990982607312e-36,240.182,Neg
110,MgCl2 x 6 H2O,79,-0.1760865374500911,6.738526405104812e-37,203.303,Neg
111,Sodium resazurin,1852,-0.1878577997758379,7.606651593084122e-42,251.17,Neg
112,Tween 80,22,-0.205341672433178,7.991755113378431e-50,1308.84,Neg
113,Trypticase peptone,124,-0.2099453483504366,4.728978183626123e-52,unknown,Neg
114,Columbia agar base,2110,-0.2480070124403408,1.48324543922075e-72,unknown,Neg
115,L-Cysteine HCl x H2O,770,-0.2597728801304449,1.149672396707362e-79,175.636,Neg
