,0,1
203,CCAP1660/3E,['C99']
204,CCAP384/3,['C14']
205,CCAP1314/4,['C56']
206,CCAP1589/18,['C58']
207,CCAP1902/1,['C12']
208,CCAP1569/1,['C69']
209,CCAP1630/6B,['C81']
210,CCAP1348/3,['C34']
211,CCAP1310/277,['C56']
212,CCAP1616/1,['C99']
213,CCAP1060/4,['C37']
214,CCAP1603/1,['C34']
215,CCAP808/1,['C59']
216,CCAP1660/23,['C63']
217,CCAP211/11N,['C14']
218,CCAP1318/306,['C56']
219,CCAP1310/264,['C56']
220,CCAP211/105,['C14']
221,CCAP112/1,['C14']
222,CCAP1119/39,['C45']
223,CCAP880/5,['C14']
224,CCAP258/273,['C14']
225,CCAP1588/1A,['C68']
226,CCAP2365/1,['C56']
227,CCAP258/11,['C14']
228,CCAP1318/207,['C56']
229,CCAP66/25,['C95']
230,CCAP1310/163,['C56']
231,CCAP222/32,['C14']
232,CCAP1915/7,['C63']
233,CCAP6005/13,['C47']
234,CCAP1957/9,['C63']
235,CCAP1450/13,['C17']
236,CCAP1950/1,['C12']
237,CCAP1063/2,['C37']
238,CCAP1318/278,['C56']
239,CCAP1310/58,['C56']
240,CCAP258/221,['C14']
241,CCAP935/15,['C58']
242,CCAP1957/12,['C63']
243,CCAP1350/12,['C4']
244,CCAP53/1,['C14']
245,CCAP258/10,['C14']
246,CCAP1310/96,['C56']
247,CCAP612/1B,['C59']
248,CCAP1915/9,['C63']
249,CCAP216/12,['C79']
250,CCAP258/3,['C14']
251,CCAP1318/26,['C56']
252,CCAP6/2,['C34']
253,CCAP19/43,['C34']
254,CCAP1318/171,['C56']
255,CCAP1534/11,['C68']
256,CCAP1310/334,['C56']
257,CCAP258/30,['C14']
258,CCAP1310/217,['C56']
259,CCAP1055/4,['C37']
260,CCAP202/19,['C79']
261,CCAP909/3,['C47']
262,CCAP258/210,['C14']
263,CCAP1059/2,['C37']
264,CCAP1310/246,['C56']
265,CCAP1410/10,['C40']
266,CCAP221/5,['C14']
267,CCAP1318/395,['C56']
268,CCAP211/98,['C14']
269,CCAP11/7,"['C14', 'C34']"
270,CCAP1350/15,['C56']
271,CCAP1310/38,['C56']
272,CCAP1310/182,['C56']
273,CCAP1571/3,['C68']
274,CCAP1310/298,['C56']
275,CCAP1369/4,['C4']
276,CCAP1310/286,['C56']
277,CCAP1534/13,['C68']
278,CCAP32/30,['C14']
279,CCAP211/106,['C14']
280,CCAP1397/1,['C34']
281,CCAP276/8,['C79']
282,CCAP1394/2,['C13']
283,CCAP1112/1,['C45']
284,CCAP211/102,['C14']
285,CCAP1325/3,['C56']
286,CCAP278/2G,['C79']
287,CCAP2502/5,['C63']
288,CCAP258/18,['C14']
289,CCAP980/1,['C94']
290,CCAP258/62,['C14']
291,CCAP258/9,['C14']
292,CCAP1459/10,['C17']
293,CCAP1446/2,['C17']
294,CCAP649/22,['C59']
295,CCAP1029/25,['C37']
296,CCAP1310/159,['C56']
297,CCAP1204/17B,['C99']
298,CCAP1310/289,['C56']
299,CCAP66/8,"['C34', 'C95']"
300,CCAP1318/240,['C56']
301,CCAP1318/324,['C56']
302,CCAP379/22,['C79']
303,CCAP32/42,['C14']
304,CCAP1119/25,['C45']
305,CCAP1369/3,['C4']
306,CCAP66/62,['C95']
307,CCAP1049/1,['C37']
308,CCAP1453/22,['C18']
309,CCAP258/208,['C14']
310,CCAP1310/236,['C56']
311,CCAP1453/27,['C18']
312,CCAP222/52,['C14']
313,CCAP1314/6,['C56']
314,CCAP1310/118,['C56']
315,CCAP1010/24,['C37']
316,CCAP1318/4,['C56']
317,CCAP258/287,['C14']
318,CCAP1318/404,['C56']
319,CCAP1310/214,['C56']
320,CCAP247/2,['C14']
321,CCAP413/1,['C14']
322,CCAP1446/7,['C17']
323,CCAP276/33,['C14']
324,CCAP1918/1,['C58']
325,CCAP1571/4,['C109']
326,CCAP1310/111,['C56']
327,CCAP1318/252,['C56']
328,CCAP1318/92,['C56']
329,CCAP1630/1W,['C81']
330,CCAP258/249,['C14']
331,CCAP1357/2,['C56']
332,CCAP6006/9,['C34']
333,CCAP1310/39,['C56']
334,CCAP6006/6,['C34']
335,CCAP1976/8,['C63']
336,CCAP1310/231,['C56']
337,CCAP1224/48,['C13']
338,CCAP217/1A,['C79']
339,CCAP66/6,['C95']
340,CCAP202/4E,['C79']
341,CCAP11/49,['C14']
342,CCAP258/25,['C14']
343,CCAP211/46,['C34']
344,CCAP240/2,['C14']
345,CCAP1077/1B,['C37']
346,CCAP1318/227,['C56']
347,CCAP258/159,['C14']
348,CCAP835/3,['C14']
349,CCAP1060/8,['C37']
350,CCAP1306/46,['C56']
351,CCAP1018/2,['C37']
352,CCAP1318/220,['C56']
353,CCAP11/148,['C14']
354,CCAP1660/13,['C92']
355,CCAP11/3,"['C14', 'C27', 'C47']"
356,CCAP1361/11,['C56']
357,CCAP1459/30,['C17']
358,CCAP1310/221,['C56']
359,CCAP678/10,['C14']
360,CCAP505/9,['C34']
361,CCAP1318/137,['C56']
362,CCAP1301/1,['C56']
363,CCAP615/1A,['C59']
364,CCAP1035/2,['C37']
365,CCAP335/2A,['C79']
366,CCAP1915/10,['C63']
367,CCAP1318/319,['C56']
368,CCAP211/79,['C14']
369,CCAP995/2,['C47']
370,CCAP1052/24,['C37']
371,CCAP348/3,['C14']
372,CCAP1310/36,['C56']
373,CCAP1564/1,['C57']
374,CCAP1318/110,['C56']
375,CCAP6000/1,['C56']
376,CCAP379/1A,['C14']
377,CCAP1310/307,['C56']
378,CCAP611/10,['C14']
379,CCAP1375/8,['C56']
380,CCAP1310/329,['C56']
381,CCAP1357/3,['C56']
382,CCAP161/1A,['C95']
383,CCAP836/2,['C14']
384,CCAP1318/134,['C56']
385,CCAP1318/34,['C56']
386,CCAP1031/1,['C34']
387,CCAP1318/406,['C56']
388,CCAP855/1,['C40']
389,CCAP849/2,['C95']
390,CCAP1321/2,['C56']
391,CCAP1261/10,['C41']
392,CCAP276/39,['C14']
393,CCAP11/137,['C1']
394,CCAP7/5,['C95']
395,CCAP11/83,['C95']
396,CCAP1613/1,"['C59', 'C99']"
397,CCAP1310/119,['C56']
398,CCAP1119/19,['C45']
399,CCAP1599/1,['C106']
400,CCAP1310/313,['C56']
401,CCAP1922/10,['C106']
402,CCAP1565/10,['C60']
403,CCAP1085/33,['C37']
404,CCAP1482/3B,['C17']
405,CCAP1459/40,['C17']
406,CCAP1462/7,['C17']
407,CCAP652/3,['C14']
408,CCAP202/8C,['C79']
409,CCAP258/241,['C14']
410,CCAP1220/1A,['C63']
411,CCAP805/2,['C14']
412,CCAP1547/8,['C61']
413,CCAP1966/4,['C58']
414,CCAP979/42,['C59']
415,CCAP1475/9,['C10']
416,CCAP1029/18,['C37']
417,CCAP1318/335,['C56']
418,CCAP276/10,['C14']
419,CCAP1310/183,['C56']
420,CCAP211/8P,['C79']
421,CCAP1310/83,['C56']
422,CCAP624/2,['C59']
423,CCAP216/21,['C14']
424,CCAP211/8D,['C27']
425,CCAP211/406,['C14']
426,CCAP11/132,['C14']
427,CCAP1453/31,['C18']
428,CCAP278/5,"['C14', 'C40']"
429,CCAP1310/34,['C56']
430,CCAP221/4,['C14']
431,CCAP1361/8,['C56']
432,CCAP260/7,['C14']
433,CCAP1479/10,['C17']
434,CCAP960/3,['C59']
435,CCAP1318/192,['C56']
436,CCAP1310/62,['C56']
437,CCAP1310/3,['C56']
438,CCAP1588/3C,['C68']
439,CCAP1318/251,['C56']
440,CCAP1360/2,['C4']
441,CCAP60/1B,['C14']
442,CCAP935/14,['C63']
443,CCAP1310/139,['C56']
444,CCAP1318/76,['C56']
445,CCAP19/1,"['C9', 'C34']"
446,CCAP24/7,['C14']
447,CCAP202/15A,['C40']
448,CCAP1318/288,['C56']
449,CCAP1318/157,['C56']
450,CCAP1004/3,['C37']
451,CCAP1318/392,['C56']
452,CCAP418/2,['C14']
453,CCAP1318/304,['C56']
454,CCAP849/8,['C95']
455,CCAP66/29,['C95']
456,CCAP417/2,['C14']
457,CCAP216/11B,['C79']
458,CCAP1224/17P,['C41']
459,CCAP1364/1,['C4']
460,CCAP1379/2,['C4']
461,CCAP1310/305,['C56']
462,CCAP1310/256,['C56']
463,CCAP66/21A,['C95']
464,CCAP1318/295,['C56']
465,CCAP66/42,['C95']
466,CCAP211/52,['C14']
467,CCAP1134/1,['C45']
468,CCAP1250/2,['C72']
469,CCAP200/2,['C14']
470,CCAP1910/1,['C92']
471,CCAP1136/16,['C45']
472,CCAP6037/1,['C56']
473,CCAP1005/23,['C25']
474,CCAP1588/7,['C60']
475,CCAP1010/45,['C37']
476,CCAP1583/10,['C69']
477,CCAP1318/136,['C56']
478,CCAP1119/34,['C45']
479,CCAP1029/26,['C37']
480,CCAP222/73,['C14']
481,CCAP1534/14,['C68']
482,CCAP1005/17,['C25']
483,CCAP7/1A,['C95']
484,CCAP218/4,['C14']
485,CCAP222/37,['C14']
486,CCAP1957/4,['C58']
487,CCAP66/26,['C95']
488,CCAP836/8,['C14']
489,CCAP202/15B,['C79']
490,CCAP278/1,['C14']
491,CCAP19/18,['C9']
492,CCAP1310/259,['C56']
493,CCAP1915/1,['C63']
494,CCAP258/33,['C14']
495,CCAP1572/6,['C68']
496,CCAP6006/5,['C34']
497,CCAP211/21B,['C95']
498,CCAP11/152,['C14']
499,CCAP34/6,['C27']
500,CCAP1310/114,['C56']
501,CCAP276/47,['C14']
