,0,1
175,JCM 18689,['J346']
176,JCM 23174,"['J30', 'J148', 'J150']"
177,JCM 15895,['J43']
178,JCM 22310,"['J30', 'J226']"
179,JCM 2748,['J30']
180,JCM 31015,['J475']
181,JCM 23024,['J30']
182,JCM 1618,"['J25', 'J30', 'J118']"
183,JCM 21469,['J118']
184,JCM 8666,['J13']
185,JCM 9125,['J118']
186,JCM 28303,['J43']
187,JCM 9038,"['J25', 'J30']"
188,JCM 1806,"['J14', 'J25', 'J27', 'J30', 'J50', 'J156', 'J346', 'J1230']"
189,JCM 14271,"['J25', 'J30']"
190,JCM 8498,['J150']
191,JCM 31570,['J22']
192,JCM 15990,"['J30', 'J226']"
193,JCM 13073,"['J30', 'J148']"
194,JCM 32168,['J27']
195,JCM 13191,['J118']
196,JCM 5838,['J22']
197,JCM 16822,"['J25', 'J30']"
198,JCM 12882,"['J25', 'J30']"
199,JCM 32945,['J346']
200,JCM 6274,['J22']
201,JCM 19481,['J13']
202,JCM 30511,"['J30', 'J1054']"
203,JCM 8869,['J129']
204,JCM 3822,"['J13', 'J84']"
205,JCM 10214,"['J25', 'J30']"
206,JCM 23098,"['J30', 'J332']"
207,JCM 24058,['J22']
208,JCM 17093,['J574']
209,JCM 6045,['J43']
210,JCM 9164,['J181']
211,JCM 11255,"['J25', 'J30']"
212,JCM 9305,['J30']
213,JCM 9833,"['J25', 'J30']"
214,JCM 31833,['J25']
215,JCM 16455,['J118']
216,JCM 18184,"['J30', 'J148']"
217,JCM 5216,"['J25', 'J30']"
218,JCM 23079,['J30']
219,JCM 1707,"['J22', 'J25', 'J30', 'J346', 'J733', 'J832', 'J845']"
220,JCM 22508,"['J30', 'J226']"
221,JCM 5800,['J30']
222,JCM 6824,['J22']
223,JCM 9807,['J22']
224,JCM 15346,['J30']
225,JCM 11740,"['J25', 'J30']"
226,JCM 15069,['J118']
227,JCM 10605,['J14']
228,JCM 31671,['J840']
229,JCM 13327,"['J25', 'J30']"
230,JCM 28835,['J475']
231,JCM 18509,['J465']
232,JCM 9567,"['J25', 'J30']"
233,JCM 2790,['J12']
234,JCM 10570,"['J25', 'J30']"
235,JCM 8631,['J13']
236,JCM 34066,['J386']
237,JCM 1908,"['J25', 'J30', 'J35', 'J746']"
238,JCM 4247,['J42']
239,JCM 2110,"['J25', 'J30', 'J74']"
240,JCM 2585,['J22']
241,JCM 32589,['J43']
242,JCM 28845,['J475']
243,JCM 24508,['J25']
244,JCM 2402,['J12']
245,JCM 10074,"['J25', 'J30']"
246,JCM 7891,['J141']
